,plus_code,place_name,subtype,masks,limited_entry,early_close,has_early,early_hours,delivery,has_pt,has_live,place_id
0,"3VJR+24 Alhambra, California, USA",168+market,asian,-1,-1,-1,-1,,0,1,1,
1,"4W37+R2 San Gabriel, California, USA",168+market,asian,-1,-1,-1,-1,,1,1,1,
2,"X3R8+25 Hacienda Heights, California, USA",168+market,asian,-1,-1,-1,-1,,0,1,1,
3,"X4QH+35 Rowland Heights, California, USA",168+market,asian,-1,-1,-1,-1,,0,1,1,
4,"8966 Reseda Blvd, Northridge, CA, USA 91324",99+cents+only+stores,"discount, dollar store",1,1,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,1,1,
5,"6CHW+VR Northridge, Los Angeles, CA, USA",99+cents+only+stores,"discount, dollar store",1,1,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,1,1,
6,"6C26+79 Canoga Park, Los Angeles, CA, USA",99+cents+only+stores,"discount, dollar store",1,1,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,1,1,
7,"5CV7+R3 Canoga Park, Los Angeles, CA, USA",99+cents+only+stores,"discount, dollar store",1,1,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,1,1,
8,"5CCP+J8 Woodland Hills, Los Angeles, CA, USA",99+cents+only+stores,"discount, dollar store",1,1,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,1,1,
9,"6F2C+Q2 Reseda, Los Angeles, CA, USA",99+cents+only+stores,"discount, dollar store",1,1,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,1,1,
10,"7F7W+HF Granada Hills, Los Angeles, CA, USA",99+cents+only+stores,"discount, dollar store",1,1,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,1,1,
